from_brand,to_car
BMW,BMW_M5
BMW,BMW_M3
BMW,BMW_i8
Ferrari,Ferrari_F8_Tributo
Ferrari,Ferrari_SF90_Stradale
Ferrari,Ferrari_Roma
Lamborghini,Lamborghini_Aventador
Lamborghini,Lamborghini_Huracan
Lamborghini,Lamborghini_Urus
Lamborghini,Lamborghini_Revuelto
Porsche,Porsche_911_Turbo_S
Porsche,Porsche_Taycan_Turbo_S
Porsche,Porsche_Panamera_Turbo
Mercedes-Benz,Mercedes_AMG_GT_Black
Mercedes-Benz,Mercedes_S_Class
Mercedes-Benz,Mercedes_EQS
Rolls-Royce,Rolls_Royce_Phantom
Rolls-Royce,Rolls_Royce_Ghost
Rolls-Royce,Rolls_Royce_Cullinan
Bentley,Bentley_Continental_GT
Bentley,Bentley_Mulsanne
McLaren,McLaren_720S
McLaren,McLaren_Senna
McLaren,McLaren_Artura
